"uid","forename","surname","name_religion","date_birth","date_death","age_death","national_identity","conv","note","namequal","pbirth","pdeath"
 "AC037","Phillipe","Debloq  ","Josephine of St Nicholas",NULL,"1816 19 Feb",NULL,NULL,"N",NULL,NULL,NULL,"315"
 "AC038","Francis","Dickenson","Clare Joseph of the Heart of Jesus","1755","1830 27 Mar","75 app","English","N",NULL,NULL,"208","221"
 "AC039","Anne","Downes ","Anne of St Bartholomew","1593","1674 30 May","80+",NULL,"N",NULL,NULL,"531","475"
 "AC040","Margaret ","Downes ","Frances of St Ignatius ",NULL,"1650 11 Jun ",NULL,NULL,"N",NULL,NULL,"623",NULL
 "AC041","Margaret","Downes ","Margaret of St Teresa","1600 c","1682 13 Apr","82",NULL,NULL,NULL,NULL,"1193","589"
 "AC042","Anne","Duynes ","Anne of Jesus","1586 c","1646 14 Jun","50-60","Dutch","N",NULL,"no bapt","935","475"
 "AC043","Helen ","Eddisford ","Helen of the Holy Cross","1672","1755","83 app",NULL,"N",NULL,NULL,"1010","475"
 "AC044","Elizabeth","Emery ","Elizabeth of the Visitation","1617","1670 28 Apr ","55",NULL,NULL,NULL,NULL,"353","589"
 "AC045","Mary","Emery ","Mary of the Conception",NULL,"1667 25 Aug","51",NULL,"N",NULL,NULL,"353","475"
 "AC046","Rose ","Fisher  ","Martha of Jesus",NULL,"1640",NULL,NULL,"N",NULL,NULL,"765","475"
 "AC047","Bridget ","Fitzherbert ","Aloysia of the Mother of God",NULL,"1730 19 Jun","49",NULL,"N",NULL,NULL,"251","475"
 "AC048","Lucy","Forster ","Cecilia of the Presentation",NULL,"1694 14 Nov/1693 14 Nov","68",NULL,"N",NULL,NULL,"801","475"
 "AC049","Mary","Forster","Mary Anne of Jesus","1600","1679 10 Feb","78",NULL,"N",NULL,NULL,"623","589"
 "AC050","Beatrix Aurelia","Gelthoff ","Beatrix of St Teresa",NULL,"1729 11 Nov","65","local","N",NULL,NULL,"475","475"
 "AC051","Ann","Gerard ","Ann of Jesus",NULL,"1743 12 Nov",NULL,NULL,"N",NULL,NULL,"1423","475"
 "AC052","Clare","Gerard ","Clare Joseph of Jesus Mary","1694","1736",NULL,NULL,"N",NULL,NULL,"1423","475"
 "AC053","Margaret","Gifford ","Angela of the Holy Ghost",NULL,"1679 6 Oct",NULL,NULL,"N",NULL,NULL,"1489","475"
 "AC054","Mary","Gifford ","Mary of the Holy Martyrs","1639","1713 23 Apr","74",NULL,"N",NULL,NULL,"1489","475"
 "AC055","Margaret","Goodlad","Margaret of St Joseph","1632","1679 12 Sep","47",NULL,"N",NULL,NULL,"482","475"
 "AC056","Ann","Harcourt ","Anne of St Mary","1624","1678 11 Sep","54",NULL,"N",NULL,NULL,"1489","895"
 "AC057","Mary","Harcourt ","Mary of the Angels",NULL,"1690 25 Sep",NULL,NULL,"N",NULL,NULL,"1489","895"
 "AC058","Anne","Haynes ","Anne of Jesus",NULL,"1678",NULL,NULL,"N",NULL,NULL,NULL,"895"
 "AC059","Sarah ","Hicks ","Dorothy of St Francis","1613 c","1648 10 May","35",NULL,"N",NULL,NULL,"754","475"
 "AC060","Mary Anne","Hill","Mary Austin of St Joseph",NULL,"1817 11 Feb","59",NULL,"N",NULL,NULL,"208","1141"
 "AC061","Ann","Holmes ","Ann Joseph of the Ascencion","1716","1764","48",NULL,"N",NULL,NULL,"1423","475"
 "AC062","Alexandra Mary","Howard ","Mary Teresa of Annunciation",NULL,"1784 17 May","58",NULL,"N",NULL,NULL,"754","475"
 "AC063","Alice","Howard ","Joseph Francis of the Blessed Sacrament",NULL,"1761 1 Feb","67",NULL,"N",NULL,NULL,"1423","475"
 "AC064","Anne","Howard ","Anne Teresa of the Nativity",NULL,"1710 31 May","58",NULL,"Y",NULL,NULL,"754","475"
 "AC065","Bridget","Howard ","Teresa of Jesus","1694","1764","72",NULL,"N",NULL,NULL,"881","475"
 "AC066","Catherine","Howard ","Teresa Joseph of the Sacred Heart",NULL,"1775 26 Jul",NULL,NULL,"N",NULL,NULL,"881","475"
 "AC067","Lucy","Howard ","Joseph Frances of the Blessed Trinity",NULL,"1719 18 Jan","38",NULL,"N","Born Cumberland/Westmorland?",NULL,NULL,"475"
 "AC068","Mary","Howard ","Mary Electa of Jesus",NULL,"1728 8 Apr","70",NULL,"N",NULL,NULL,"754","895"
 "AC069","Mary","Howard ","Mary Joseph of St Teresa","1688","1756 18 Mar","78 app",NULL,"N",NULL,NULL,"881",NULL
 "AC070","Elizabeth","Hoyles ","Philppine Mary of St Xavier",NULL,"1795 29/7 Mar","66 app",NULL,"N",NULL,NULL,"754",NULL
 "AC071","Elizabeth","Huddleston","Ignatia of Jesus ",NULL,"1688 22 Nov","80",NULL,"N",NULL,NULL,"138","475"
 "AC072","Mary","Hyde ","Barbara of St Mary",NULL,"1703 8 Dec","80",NULL,"N",NULL,NULL,"1003","475"
 "AC073","Anne","James","Monica of St Lawrence",NULL,"1678",NULL,NULL,"N",NULL,NULL,"111","475"
 "AC074","Margaret ","Johnson ","Margaret of St Francis","1594","1675 28 Apr","84",NULL,"N",NULL,NULL,"944","589"
 "AC075","Mary","Jordan ","Mary Aloysia of the Sacred Heart of Jesus",NULL,"1795 17 Mar","51 app",NULL,"N",NULL,NULL,"754","315"
 "AC076","Frances","Kempe ","Agatha of St Peter",NULL,"1650 15 Jan","23",NULL,"N",NULL,NULL,"208","475"
 "AC077","Anne","Keynes ","Anne of Jesus",NULL,"1696 3 Feb",NULL,NULL,"N","Founder member of Neuberg, 1661-1668",NULL,"1006","895"
 "AC079","Catharine ","Keynes ","Anne of the Ascension","1619","1678 26 Jul","49",NULL,"N","Founder member of Neuberg, 1661",NULL,"1006","904"
 "AC080","Catherine","Kingsley ","Angela Mary of St Joseph","1707","1784 19 Apr","77 app",NULL,"N",NULL,NULL,"754","475"
 "AC081","Clare","Laithwaite ","Clare of Jesus",NULL,"1627",NULL,NULL,"N",NULL,NULL,NULL,"1164"
 "AC082","Anne Mary","L'engellez ","Mary Joseph Francis of the Resurrection",NULL,"1823/2 29 Nov","59 app",NULL,"N",NULL,NULL,"475","315"
 "AC083","Elizabeth","Leveson","Eugenia of Jesus","1618","1652 18 Aug","34",NULL,"N",NULL,NULL,"1489","589"
 "AC084","Anne","Levesson","Anne of St Teresa","1607","1667 15 Sep","63",NULL,"N",NULL,NULL,"1489","1518"
 "AC085","Mary","Leymons","Mary of St Barbara","1701",NULL,NULL,NULL,"N",NULL,"no bapt","1514",NULL
 "AC086","Anne Elizabeth ","Lienstorf ","Stanislaus of the Heart of Mary",NULL,"1851 8 Jan","63",NULL,"N",NULL,NULL,"475","315"
 "AC087","Elizabeth ","Lingen ","Winifred of St Teresa","1662","1740","78",NULL,"N",NULL,NULL,"100","475"
