"uid","forename","surname","name_religion","date_birth","date_death","age_death","national_identity","conv","note","namequal","pbirth","pdeath"
 "GB001","Margaret","Adcroft","Clementina","1765","1815 25 Aug",NULL,NULL,"N",NULL,NULL,NULL,"1412"
 "GB002","Anne","Alexander","Romana",NULL,"1790 26 Apr",NULL,NULL,"N",NULL,NULL,"754","813"
 "GB003","Magdalen","Arden","Mary Magdalen","1736","1797 18 Jun","60",NULL,"N",NULL,NULL,"1560","1204"
 "GB004","Clementina","Arden","Clementina",NULL,"1781 8 Jan",NULL,NULL,"N",NULL,NULL,"1560","813"
 "GB005","Margaret","Arthur","Xaveria",NULL,NULL,"70",NULL,"N",NULL,NULL,"15","1074"
 "GB006","Elizabeth","Bacon","Lucy",NULL,"1670 31 Aug",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB007","Dorothy","Barefoot",NULL,NULL,"1634 27 Sep",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB008","Jane","Bartlett","Monica","1603","1672 aft",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB009","Mary","Bearde","Mary",NULL,NULL,NULL,NULL,"N",NULL,NULL,"1179",NULL
 "GB010","Helen","Beaumont","Aloysia","1612","1635 9 April","23",NULL,"N",NULL,NULL,NULL,"813"
 "GB011","Katherin","Beaumont","Marina","1617","1682  27 Aug","64",NULL,"N",NULL,NULL,NULL,"1074"
 "GB012","Lucy","Beckingham","Scholastica",NULL,NULL,NULL,"English","N",NULL,NULL,NULL,"813"
 "GB013","Mary Berenice","Bedell","Letitia",NULL,NULL,NULL,NULL,"N",NULL,NULL,"531","813"
 "GB014","Mary","Bedingfeld","Benedicta","1758","1811 27 Mar","53",NULL,"N",NULL,NULL,"1010","1204"
 "GB015","Philippa","Bedingfield","Tecla","1609","1636 14 Dec","27",NULL,"N",NULL,NULL,"1389","813"
 "GB016","Margarita","Bedingfield","Eugenia","1619","1637 1 Feb",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB017","Margaret","Bedingfield","Thecla","1624","1642 20 Feb",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB018","Mary","Bedingfield","Mary","1624","1685 21 Apr",NULL,NULL,"N",NULL,NULL,NULL,"935"
 "GB019","Justina","Blount","Elisabeth","1692","1725 aft",NULL,NULL,"N",NULL,NULL,"915",NULL
 "GB020","Anne","Blount","Catherine",NULL,NULL,NULL,NULL,"N",NULL,NULL,"570",NULL
 "GB021","Frances","Blundell","Mary","1690","1711",NULL,NULL,"N",NULL,NULL,"393","813"
 "GB022","Winefride","Blundell","Augustina","1688","1743 aft",NULL,NULL,"N",NULL,NULL,"393","813"
 "GB023","Placida","Bodinham",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB024","Helena","Bolens",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,"1415","813"
 "GB025","Clare","Bond",NULL,NULL,"1782 1 Jan",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB026","Rachel","Boone","Mary Xaveria","1749","1798 5 Jan","54","American","N",NULL,NULL,NULL,"1204"
 "GB027","Mary Joseph","Bowyer",NULL,NULL,"1779 10 Sep",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB028","Elizabeth","Bradbery",NULL,NULL,"1630 9 Nov","30 ",NULL,"N",NULL,NULL,NULL,"813"
 "GB029","Margaret","Browne","Ruperta","1698","1755 21 Sep","57 app","Irish","N","Born Kilmore/London?",NULL,NULL,"813"
 "GB030","Mary","Bryan","Mary",NULL,"1669 9 Nov",NULL,"Irish","N",NULL,NULL,"177","813"
 "LS001","Elizabeth","Acton","Elizabeth of the Incarnation",NULL,NULL,NULL,"English","N",NULL,NULL,"431",NULL
 "LS002","Mary","Alder","Mary Francis de Sales of the Hearts of Jesus Mary ",NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS003","Barbara","Archdeacon","Mary Aloysia of the Sacred Passion","1764","1833 12 Jun",NULL,NULL,"N",NULL,NULL,"399","842"
 "LS004","Elizabeth","Archdeacon","Mary Augustin of the Divine Providence","1765","1849 15 Apr",NULL,NULL,"N",NULL,NULL,"399","842"
 "LS005","Mary","Arrowsmith","Mary Claire","1723","1767 5 Aug","44","English","N",NULL,NULL,NULL,"224"
 "LS006","Lucie Adrienne","Askin","Mary Anne Teresa",NULL,"1767 20 Aug",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS008","Gertrude","Aston","Mary Gertrude of the Annunciation","1637","1682 18 Jun","45","English","N",NULL,NULL,"1489","589"
 "LS009","Elizabeth","Ayray","Victoria","1656","1705 19 Sep",NULL,"English","N",NULL,NULL,"1036","224"
 "LS010","Alice","Baker","Martha",NULL,"1717 19 Feb",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS011","Mary","Bayley","Mary Veronica","1674","1756 27 Apr",NULL,"English","N",NULL,NULL,"1574","224"
 "LS012","Catherine","Berington","Mary Benedict","1745","1786 6 Nov",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS014","Frances","Berington","Mary Chantal","1728","1774 4 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS015","Jane","Bertho","Jane of the Nativity","1620","1702 27 Jan",NULL,"Liegeoise","N",NULL,NULL,"872","224"
 "LS016","Frances","Biddulph","Mary Ignatia","1712","1744 14 Sep",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS017","Helen","Billinge","Winefrid","1697","1743 5 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS018","Margaret","Billinge","Monica","1693","1747 7 Jul",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS019","Helen","Billings","Helen Ignatius","1656","1729 6 Mar",NULL,"English","N",NULL,NULL,"1423",NULL
 "LS020","Mrs","Binks",NULL,NULL,NULL,NULL,"English","N",NULL,NULL,NULL,NULL
 "LS021","Petronille","Bonhiver","Petronille of St Blandina","1614","1695 18 Jan",NULL,"Liegeoise","N",NULL,NULL,"1254","224"
 "LS022","Agnes","Brabant","Agnes","1657","1737 13 Oct",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS023","Mary","Brown","Mary Agnes","1772","1862 8 Feb",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS024","Mary","Burke","Francis Xaveria","1736","1783 6 May",NULL,"Irish","N",NULL,NULL,NULL,"224"
 "LS025","Margaret","Burnett","Francia Borgia","1686","1777 30 Dec",NULL,"English","N",NULL,NULL,"129","224"
 "LS026","N","Busby",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS027","Ann","Butler","Mary Ignatia","1737","1776 22 Aug",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS028","Teresa","Butler","Mary Agnes","1740","1778 25 Aug",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS029","Mary","Smyth","Mary Joseph","1642","1674 3 Dec",NULL,"English",NULL,NULL,NULL,"1100","224"
 "LS030","Margaret","Cartwright","Alexia","1687","1740 30 Aug",NULL,"English","N",NULL,NULL,NULL,"224"
 "GB032","Honora","Burke","Honora","1638","1652 7 Aug",NULL,"Irish","N",NULL,NULL,NULL,"813"
 "GB033","Gertrude","Butler",NULL,NULL,"1776 9 Feb",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB034","Catherina","Butler","Ursula","1620","1685 10 Apr","65 app","Irish","N",NULL,NULL,NULL,"754"
 "GB035","Francisca","Smith","Anna","1628","1701 2 Jan","72 app",NULL,NULL,NULL,NULL,"939","813"
 "GB036","Margaret","Cary","Margaret",NULL,"1662 20 Mar",NULL,NULL,"N",NULL,NULL,"353",NULL
 "GB038","Elisabeth","Cary","Flavia","1617","1686 20 Feb",NULL,NULL,"N",NULL,NULL,NULL,"1074"
 "GB039","Catherine","Cary","Dorothy",NULL,"1653 3 April","30 app",NULL,"N",NULL,NULL,"1350","813"
 "GB040","Mary","Caryll","Mary Teresa","1630","1712 21 Aug","85",NULL,"N",NULL,NULL,"179","1616"
 "GB041","Dorothy","Caryll","Mary Bernard","1699","1731 aft",NULL,NULL,"N",NULL,NULL,"1366",NULL
 "GB042","Frances","Champ","Frances",NULL,"1818 16 Jan","77 app",NULL,"N",NULL,NULL,"142","1412"
 "GB043","Margaret","Cheeth","Margaret",NULL,"1672 aft",NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB044","Marguerite","Claqueche","Marguerite",NULL,NULL,NULL,NULL,"N",NULL,NULL,"512",NULL
 "GB045","Scholastica","Clavering","Scholastica",NULL,"1779 14 Jan",NULL,NULL,"N",NULL,"no bapt",NULL,NULL
 "GB046","Catharine","Clifford","Gertrude","1694",NULL,NULL,NULL,"N","She died early.",NULL,"183",NULL
 "GB047","Mary","Clifford","Ignatia","1695","1740 7 May",NULL,NULL,"N",NULL,NULL,"183","813"
 "GB048","Roda Preston","Clifford","Ildefonsa","1707","1748 aft",NULL,NULL,"N",NULL,NULL,"144",NULL
 "GB049","Cecilia","Collins","Dorothy","1716","1788 10 Jul",NULL,NULL,"N",NULL,NULL,"754",NULL
 "GB050","Margarit","Coningsby","Mary Ignatia","1583","1657 23 Mar","79",NULL,"N",NULL,NULL,NULL,NULL
 "GB051","Mary ","Coppings","Mary Joseph",NULL,"1779 Jul",NULL,NULL,"N",NULL,"no bapt",NULL,NULL
 "GB052","Isabella","Corby","Benedicta",NULL,"1652 25 Dec","99",NULL,NULL,NULL,NULL,NULL,"1271"
 "GB053","Justina","Corham","Justina",NULL,"1638 15 Aug",NULL,NULL,"N",NULL,NULL,"475",NULL
 "GB054","Cornelia","Corham","Cornelia","1616","1657 15 Mar",NULL,NULL,"N",NULL,NULL,"475",NULL
 "GB055","Elisabeth","Croot","Elisabeth",NULL,NULL,NULL,NULL,"N",NULL,NULL,"754",NULL
 "GB056","Martina","Decken, de ","Martina",NULL,"1655 27 Jul","44",NULL,"N",NULL,NULL,"1642","813"
 "GB057","Anna Maria","Moll, de ","Anna Maria","1657","1696-1700",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB058","Mary","Digby","Mary","1612","1641 8 Jul","29 app",NULL,"N",NULL,NULL,"1379","813"
 "GB060","Jane","Edmonds","Magdalen",NULL,"1824 18 Jul",NULL,NULL,"N",NULL,NULL,NULL,"1412"
 "LS031","Frances","Cary","Francis of St Ignatius","1619","1659 26 Apr",NULL,"English","N","Entered Tongres 6 Jan 1642.",NULL,"551","224"
 "LS032","Jane","Cary","Helena of the Cross","1625","1699 10 Mar",NULL,"English","N",NULL,NULL,"551","224"
 "LS033","Cecilia","Cary","Mary of the Conception","1641","1680 17 Dec",NULL,"English","N",NULL,NULL,"1331","224"
 "LS034","Anne","Caryll","Teresa","1694","1718 17 Apr",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS035","Elizabeth","Caryll","Victoria","1690","1758 27 Jun",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS036","Bridget","Champney","Mary Magdalen Aloysia","1731","1812 5 Apr",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS037","Mary","Champney",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS038","Elizabeth","Charnley","Mary Clare","1738","1779 23 Feb",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS039","Elizabeth","Chichester","Aloysia of the Presentation","1619","1691 29 Mar",NULL,"English","N",NULL,NULL,"63","224"
 "LS040","Catherine","Chichester","Mary Joseph Sales of the Doulours of our Blessed L","1766","1791 12 Apr",NULL,"English","N",NULL,NULL,"63","224"
 "LS041","Ann","Clifford","Mary Aloysia Austin","1770","1844 14 Jan",NULL,NULL,"N",NULL,NULL,"697","842"
 "LS042","Charlotte","Clifford","Mary Ann Teresa of the Divine Providence","1773","1800 13 Jul",NULL,NULL,"N",NULL,NULL,"811","842"
 "LS043","Anne","Clough","Paula","1710","1754 22 Aug",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS044","Elizabeth","Clough","Mary Xaveria","1732","1790 24 May",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS045","Bridget","Clough","Mary Aloysia","1739","1816 6 Jul",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS046","Mary","Cockes","Marie Anna","1648","1714 6 Dec",NULL,"English","N",NULL,NULL,"709","224"
 "LS047","Judith","Cockes","Judith Tecla","1648","1685 30 Dec",NULL,"English","N",NULL,NULL,"709","224"
 "LS048","Anna","Collard","Anne of the Holy Ghost","1643","1699 20 Feb",NULL,"Liegeoise","N",NULL,NULL,NULL,"224"
 "LS049","Elizabeth","Collinges","Elizabeth Dorothy Josaphine of Jesus","1625","1649 5 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS050","Mary","Corcoran","Mary Felicitas of the Passion","1740","1787 25 Jan",NULL,"Irish","N",NULL,NULL,NULL,"224"
 "LS051","Sibbille","Croft","Mary Monica","1708","1788 29 Dec",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS052","Margaret","Cross","Mary Francis Borgia of the Passion","1772","1820 23 Jun",NULL,"English","N",NULL,NULL,"236","842"
 "LS053","Mary","Cross","Mary Xaveria of the Sacred Hearts","1773","1804 23 Dec",NULL,"English","N",NULL,NULL,"236","842"
 "LS054","Anne","Cuffaude","Bonaventure","1657","1684 26 Jul",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS055","Lowis Isabell","d'Alengenne","Cecilia","1654",NULL,NULL,"Dutch","N",NULL,NULL,"978",NULL
 "LS056","Jane","Damanet","Francis of St Alexis","1620","1685 26 Mar",NULL,"local","N",NULL,NULL,"1244","224"
 "LS057","Elizabeth","Daniell","Flavia of St Joseph","1635","1669 5 Feb",NULL,"English","N",NULL,NULL,"1108","224"
 "LS058","Dorothy","Daniell","Dorothy Domitilla of Annunciation","1633","1719 15 Aug",NULL,"English","N",NULL,NULL,"1108","224"
 "LS059","Anne","Darrell","Mary Joseph","1656","1702 16 Feb",NULL,"English","N",NULL,NULL,"754","224"
 "LS060","Mary Catherine","Rouveroit de","Mary Susan","1670","1739 6 Oct",NULL,"Liegeoise","N",NULL,NULL,NULL,"224"
 "GB061","Anne","Eldridge","Mary Sales",NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,"1644"
 "GB062","Ursula","Eyre","Viviana",NULL,"1696-1700",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB063","Mary ","Farrar","Mary Baptist","1731","1797 30 Jun","65",NULL,"N",NULL,NULL,"1000","1204"
 "GB064","Mary","Fermor","Mary","1638","1711 bef",NULL,NULL,"N",NULL,NULL,"1366","813"
 "GB065","Henrietta","Fermor","Ursula Henrietta",NULL,"1692-6",NULL,NULL,"N",NULL,NULL,"347",NULL
 "GB066","Elizabeth","Fermor","Frances","1699","1738-48",NULL,NULL,"N",NULL,NULL,"347","813"
 "GB067","Mary","Fermor","Anne Joseph",NULL,"1743",NULL,NULL,"N",NULL,NULL,"347","813"
 "GB069","Elisabeth","Finch","Aldegonde ","1614","1692 1 Feb","78 app",NULL,"N",NULL,NULL,"631","813"
 "GB070","Frances","Fitzwilliam","Maura",NULL,"1725 aft",NULL,"English","N",NULL,NULL,NULL,"813"
 "GB071","Anne","Forster","Christina","1619/17","1661 16 Dec","43",NULL,"N",NULL,NULL,NULL,"1436"
 "GB072","Dorothy","Forster",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB073","Mary","Forster","Mary",NULL,"1672 aft",NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB074","Mary Frances","Fortescue","Ignatia","1616","1672 aft 15 Jul",NULL,NULL,"N",NULL,NULL,"1510","813"
 "GB075","Grace","Fortescue","Barbara","1617","1666 15 Feb",NULL,NULL,"N",NULL,NULL,"1510",NULL
 "GB076","Frances","Gainsford","Frances",NULL,NULL,NULL,NULL,"N",NULL,NULL,"50",NULL
 "GB077","Jane","Gardiner","Teresia","1590","1650 12 May",NULL,NULL,"Y",NULL,NULL,NULL,"813"
 "GB078","Frances","Gerard","Scholastica",NULL,"1711 6 Sep","54",NULL,"N",NULL,NULL,NULL,NULL
 "GB079","Mary Anne","Gerard","Elisabeth","1699","1748 aft",NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB080","Margaret","Gerard","Margaret",NULL,"1781 30 Dec",NULL,NULL,"N",NULL,NULL,"926","813"
 "GB081","Margaret","Gerard","Mary Frances",NULL,"1781 30 Dec",NULL,NULL,"N",NULL,NULL,"1465",NULL
 "GB082","Aloysia","German","Aloysia","1606","1672 aft",NULL,NULL,"N",NULL,"no bapt",NULL,"813"
 "GB083","Margaret","Gibson","Magdalen","1766","1837",NULL,NULL,"N",NULL,NULL,NULL,"462"
 "GB084","Dorothy","Gildridge","Bridget","1570","1647 25 Feb","73",NULL,"N",NULL,NULL,"1635","813"
 "GB085","Maria Agnes","Gilibrand","Maria Agnes",NULL,"1783 24 Aug",NULL,NULL,"N",NULL,NULL,"956","813"
 "GB086","Elizabeth","Gillet","Aloysia","1762","1825 9 Feb",NULL,NULL,"N",NULL,NULL,NULL,"462"
 "GB087","Catherine","Gore","Placida",NULL,"1782 25 Feb","62 app",NULL,"N",NULL,NULL,"225","813"
 "GB088","Francisca","Gostling","Francisca",NULL,NULL,NULL,NULL,"N",NULL,NULL,"531","813"
 "GB089","Margaret","Grey","Alexia","1606","1640 20 Dec",NULL,NULL,NULL,NULL,NULL,"1271","1271"
 "GB090","Anne","Grosvenor","Maura",NULL,"1750 Oct",NULL,NULL,"Y",NULL,NULL,"692","813"
 "LS061","Mary","Dennett","Christina of the Sacred Heart","1730","1781 12 Jul",NULL,"English","Y",NULL,NULL,"932","224"
 "LS062","Helen","Dennett","Mary Teresa","1725","1794 16 Sep","71","English","Y",NULL,NULL,"932","754"
 "LS063","Elizabeth","Dennett","Mary Ignatia of the Sacred Hearts of Jesus, Mary J","1761","1825 19 Jul",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS064","Margaret","Dennett","Mary Stanislaus of the Sacred Hearts of Jesus Mary","1765","1816 6 Apr",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS065","Mary","Diggs","Stanislaus","1689","1757 10 Feb",NULL,"American","N",NULL,NULL,NULL,"224"
 "LS066","Helen","Dolman","Helena Marina","1643","1722 25 Sep",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS067","Anne","Dormer","Mary Austin","1698","1764 5 Mar",NULL,"English","N",NULL,NULL,"173","224"
 "LS068","Ann","Dougherty","Mary Bridget of the Holy Cross","1743","1789 17 Aug",NULL,"American","N",NULL,NULL,NULL,"224"
 "LS069","Anne","Downes","Anne Mary of St Sophia","1624","1709 25 Jul",NULL,"English","N",NULL,NULL,"1333","224"
 "LS070","Emilia","Dufrene","Mary Barbara of the Immaculate Conception","1776","1799 13 Jun",NULL,NULL,"N",NULL,NULL,"754","842"
 "LS071","Catherine","Estienne","Catherine Teresa","1692","1772 4 Dec",NULL,"local","N",NULL,NULL,NULL,"224"
 "LS072","Winifrid","Evans","Mary Clare of the Sacred Heart","1734","1799 25 Jun",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS074","Harriet","Fermor","Mary Teresa Joseph of the Sacred Hearts","1771","1806 30 Dec",NULL,NULL,"N",NULL,NULL,"347","842"
 "LS075","Mary","Ford","Frances","1675","1728 8 Apr",NULL,"English","N",NULL,NULL,"1331","224"
 "LS076","Mary","Foster","Mary Anne","1627","1653 3 Jun",NULL,"English","N",NULL,NULL,"249","224"
 "LS077","Margaret Monica","Foster","Catherine of St Austine","1620","1711 6 Oct",NULL,"English","N",NULL,NULL,"249","224"
 "LS079","Elizabeth","Fullwood","Mary Paul of the Sacred heart of Jesus","1740","1813 23 May",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS080","Mary","Gandolfy","Mary Mechtilda Aloysia of the Immaculate Conceptio","1773","1834 26 Mar",NULL,"English","N",NULL,NULL,"754","842"
 "LS081","Anne","Gerard",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS082","Anne","Gerard","Anne Francis Xaverious","1660","1734 29 Apr",NULL,"English","N",NULL,NULL,"1423","224"
 "LS083","Elizabeth Winifride","Gerard","Mary Regis of the Infant Jesus","1771","1843 13 Jun",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS084","Margrett","Goffin","Mary of St Martha","1625","1667 4 Jul",NULL,"Flemish","N",NULL,NULL,"1124","224"
 "LS085","Mary","Goodyeare","Mary of St Teresa",NULL,"1713 25 Sep",NULL,"English","N",NULL,NULL,"754","224"
 "LS086","Anne Elizabeth","Grant","Elizabeth","1649","1701 13 Mar",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS087","Elizabeth","Green","Mary Cleophe","1693","1766 5 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS088","Catharine","Green","Delphina","1695","1763 8 May",NULL,"English","N",NULL,NULL,"754","224"
 "LS089","Jane","Greene","Paula of the Passion","1623","1709 20 Feb",NULL,"Irish","N",NULL,NULL,"67","224"
 "LS090","Elizabeth Ursula","Hackings","Ursula",NULL,"1757 3 Sep",NULL,"English","N",NULL,NULL,NULL,"224"
 "GB091","Elizabeth","Haggerston","Scholastica",NULL,"1736",NULL,NULL,"N",NULL,NULL,"973",NULL
 "GB092","Barbara","Hall","Paula","1638","1711 bef ",NULL,NULL,"N",NULL,NULL,"920","813"
 "GB093","Winefride","Hall","Winefride",NULL,"1672 aft",NULL,NULL,"N",NULL,"no bapt",NULL,NULL
 "GB094","Magdalen","Hardward",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,"939",NULL
 "GB095","Teresa","Haskew","Teresa",NULL,"1784 29 Jan",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB096","Gertrude","Hastings","Francis","1703","1736 aft",NULL,NULL,"N",NULL,NULL,"353","813"
 "GB097","Winefride","Hayes","Winefride",NULL,"1817 15 Apr",NULL,NULL,"N",NULL,NULL,"578","462"
 "GB098","Frances","Hendly","Frances",NULL,"1779 12 Mar",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB099","Barbara","Heneage","Scholastica","1628","1664 25 Jun",NULL,NULL,"N",NULL,NULL,"190","1616"
 "GB100","Elisabeth","Henson",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB101","Catherine","Hesketh","Mary Frances","1728","1809 24 Nov ","80",NULL,"N",NULL,NULL,"1125","1204"
 "GB102","Mary","Hesketh","Aloysia","1720","1748 aft",NULL,NULL,"N",NULL,NULL,"1125","813"
 "GB103","Teresa","Hodgson","Teresa","1744","1794 12 Jun","50",NULL,"N",NULL,NULL,NULL,NULL
 "GB104","Catherine","Howard","Constantia",NULL,"1725-32",NULL,NULL,"N",NULL,NULL,"754",NULL
 "GB105","Magdalen","Howard","Magdalen",NULL,NULL,NULL,NULL,"N","She died 21 March, year unknown.","no bapt",NULL,"1616"
 "GB106","Dorothy","Hunter","Dorothy",NULL,NULL,NULL,NULL,"N",NULL,NULL,"129","813"
 "GB107","Winefride","Hurst","Winefride",NULL,"1774 20 May",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB108","Margaret","Hyde",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB109","Elizabeth","Ingleby","Elizabeth",NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB110","Maria","James","Maria",NULL,NULL,NULL,NULL,"N",NULL,NULL,"54","813"
 "GB111","Mary","Jones","Placida","1734","1806 4 Sep ","71",NULL,"N",NULL,NULL,"731","1204"
 "GB112","Catherine","Kavanagh","Catherine",NULL,NULL,NULL,NULL,"N",NULL,NULL,"177","813"
 "GB113","Martha","Kempe","Martha",NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB114","Esther","Kennion","Teresa",NULL,NULL,NULL,NULL,"N",NULL,NULL,"1366","813"
 "GB116","Mary","Knatchbull","Mary","1608","1627 15 Aug","19",NULL,"N",NULL,NULL,"251","813"
 "GB117","Margaret","Knatchbull","Margaret",NULL,"1637 4 April",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "GB118","Mary","Knatchbull","Mary","1610","1696 6 Mar","86",NULL,"N",NULL,NULL,NULL,"813"
 "GB119","Mary","Knatchbull","Mary",NULL,"1727 or 1730",NULL,NULL,"N",NULL,NULL,NULL,"813"
 "LS091","Martha","Hagan","Mary Jane Regis","1733","1791 31 Dec",NULL,"American","N",NULL,NULL,NULL,"224"
 "LS092","Elizabeth","Hagan","Mary Longina","1739","1778 26 Jan",NULL,"American","N",NULL,NULL,NULL,"224"
 "LS093","Anne","Hague","Anne Frances","1662","1701 23 May",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS094","Ann","Hales","Mary Christina Juliana of the Blessed Sacrament","1753","1811 21 May",NULL,"English","N",NULL,NULL,"1169","842"
 "LS096","Mary","Hansby",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS097","Mary","Hargitt","Mary Magdalen of the Holy Family","1770","1800 5 Apr",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS098","Lucy","Harris","Mary Lucy","1646","1692 28 Dec",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS099","Rebecca","Harvey","Mary Teresa","1685","1739 2 Dec",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS101","Susan","Hawley","Mary of the Conception","1622","1706 25 Dec","83","English","N","Entered Tongres in 1641.",NULL,"231","224"
 "LS102","Mary","Head","Mary Anne of the Sacred Hearts of Jesus Mary &","1759","1837 13 May",NULL,NULL,"N",NULL,NULL,"531","842"
 "LS103","Elizabeth","Heath","Elizabeth Clare","1665","1714 6 Jun",NULL,"English","N",NULL,NULL,"809","224"
 "LS104","Mrs","Hildesley",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS106","Anne","Hildestly","Anne Margaret of Blessed Trinity","1626","1691 30 Dec","71","English","N",NULL,NULL,"162","224"
 "LS107","Frances","Hildestly","Francis Mary Magdalene","1662","1693 29 Apr",NULL,"English","N",NULL,NULL,"162","224"
 "LS108","Catherine","Hildestly","Catherine of St Teresa","1625","1698 7 Jun",NULL,"English","N",NULL,NULL,"162","224"
 "LS109","Mary","Hildestly","Mary Catherine of the Visitation","1624","1693 7 Jan",NULL,"English","N",NULL,NULL,"162","224"
 "LS110","Susanna","Hildestly","Magdaline of the Transfiguration","1631","1670 9 Apr",NULL,"English","N",NULL,NULL,"162","224"
 "LS111","Margueritte","Hill","Mary Michael","1748","1771 27 Mar",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS112","Frances","Hill","Mary Angela Aloysia of the Passion","1767","1842 12 Apr",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS113","Mary","Holland","Mary of the Blessed Lady and St Joseph",NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "LS114","Beatrice","Horne","Martha","1645","1691 5 Oct",NULL,NULL,"N",NULL,NULL,NULL,"224"
 "LS115","Barbare","Houthem","Agnis of St Clare","1632","1715 16 Jul",NULL,"Liegeoise","N",NULL,NULL,"224","224"
 "LS116","Susanna","Howard","Mary Frances","1746","1813 22 Dec",NULL,"English","N",NULL,NULL,NULL,"842"
 "LS117","Elizabeth","Howse","Francis Borgia","1740","1782 7 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS118","Anne","Huddleston","Anne Justina","1693","1754 19 Jan",NULL,"English","N",NULL,NULL,NULL,"224"
 "LS119","Winifride","Hunt",NULL,NULL,NULL,NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB121","Margaret","Knatchbull","Paula","1607 c","1682 aft",NULL,NULL,"N",NULL,NULL,NULL,NULL
 "GB123","Elisabeth","Langhorne","Aloysia",NULL,"1782 24 Dec",NULL,NULL,"N",NULL,NULL,"754","813"
