"uid","relationship","pid"
 "LS088","1","1229"
 "GP286","17","4134"
 "LS089","1","1887"
 "LS090","17","3233"
 "LS090","1","3101"
 "GB092","17","211"
 "GB092","1","746"
 "GB094","17","3238"
 "GB096","17","2027"
 "GB096","1","2874"
 "GB099","17","3716"
 "GB099","1","1215"
 "GB100","17","1114"
 "GB100","1","2630"
 "GB101","17","3447"
 "GB101","1","2453"
 "GB102","17","3447"
 "GB102","1","2453"
 "GB104","17","177"
 "GB104","1","1851"
 "GB106","17","3453"
 "GB106","1","1689"
 "BF033","1","3995"
 "GB108","1","2256"
 "GB109","17","3079"
 "GB109","1","1401"
 "GB110","17","2041"
 "GB110","1","933"
 "GB111","17","2953"
 "GB112","17","3743"
 "GB112","1","44"
 "GB113","17","3723"
 "GB113","1","1684"
 "GB114","17","3462"
 "GB114","1","1400"
 "GB054","17","1992"
 "GB116","17","3255"
 "GB117","17","3255"
 "GB118","17","2911"
 "GB119","17","3368"
 "GB119","1","828"
 "LS091","17","416"
 "LS091","1","2604"
 "LS092","17","416"
 "LS092","1","2604"
 "LS093","17","226"
 "LS093","1","1375"
 "LS094","17","3675"
 "LS094","1","810"
 "PC013","15","160"
 "PC010","18","339"
 "LS096","17","3794"
 "LS096","1","3544"
 "LS097","17","2944"
 "LS097","1","1876"
 "LS098","17","298"
 "LS099","17","321"
 "LS099","1","2909"
 "LS101","17","274"
 "LS101","1","2171"
 "LS102","17","330"
 "LS102","1","522"
 "LS103","17","3444"
 "LS106","17","419"
 "LS106","1","652"
 "LS107","17","233"
 "LS107","1","2668"
 "LS108","17","419"
 "LS108","1","652"
 "LS109","17","419"
 "LS109","1","652"
 "LS110","17","419"
 "LS110","1","652"
 "LS111","17","2704"
 "LS111","1","2558"
 "LS112","17","390"
 "LS112","1","2671"
 "LS114","17","2741"
 "LS115","17","255"
 "LS115","1","911"
 "LS116","17","951"
 "LS116","1","1891"
 "LS117","17","268"
 "LS117","1","533"
 "LS118","17","1736"
 "LS118","1","2448"
 "LS119","17","3756"
 "LS119","1","2683"
 "BB145","20","3622"
 "BB145","20","3569"
 "GB123","17","3257"
 "GB123","1","1688"
 "GB124","17","3464"
 "GB124","1","1202"
 "GB126","17","3059"
 "GB126","1","1044"
 "GB127","17","3059"
 "GB127","1","1044"
 "GB128","17","1742"
 "GB128","1","563"
 "GB130","17","1765"
 "GB130","1","1205"
 "GB131","17","3261"
 "GB131","1","989"
 "GB132","17","2057"
 "GB132","1","561"
 "GB133","17","1744"
 "GB133","1","637"
 "GB134","17","1123"
 "GB134","1","1795"
 "GB135","17","952"
 "GB135","1","1561"
 "GB136","17","952"
 "GB136","1","1561"
 "GB137","17","3263"
 "GB137","1","2506"
 "GB138","17","3701"
 "GB138","1","2530"
 "GB139","17","1594"
 "GB139","1","2177"
 "GB140","17","1594"
 "GB140","1","2177"
 "GB142","17","763"
 "GB142","1","558"
 "GB143","17","1595"
 "GB143","1","2559"
 "GB144","17","3266"
 "GB145","17","2059"
 "GB145","1","2501"
 "GB147","17","3856"
 "GB147","1","1690"
 "GB148","17","3856"
 "GB148","1","1690"
 "GB150","17","3153"
 "LS126","17","4083"
 "LS121","1","2627"
 "LS122","17","234"
 "LS122","1","613"
 "LS123","17","3655"
 "LS123","1","462"
 "PC056","17","4084"
 "LS126","1","2374"
 "LS127","17","493"
 "LS127","1","3105"
 "LS131","17","269"
 "LS131","1","2385"
 "LS132","17","269"
 "LS132","1","2388"
 "LS133","17","348"
 "LS133","1","3143"
 "LS134","17","302"
 "LS134","1","2445"
 "LS135","17","262"
 "LS135","1","2172"
 "LS136","17","262"
 "LS136","1","2172"
 "LS138","17","1594"
 "LS138","1","2177"
 "LS139","17","371"
 "LS139","1","1692"
 "LS140","17","241"
 "LS140","1","2593"
 "LS141","17","2963"
 "LS141","1","2612"
 "LS142","17","978"
 "LS142","1","2564"
 "LS143","17","1835"
 "LS143","1","913"
 "LS144","17","1835"
 "LS144","1","913"
 "LS145","17","3085"
 "LS145","1","1320"
 "LS146","17","3475"
 "LS146","1","1374"
 "LS148","17","373"
 "LS148","1","524"
 "LS149","17","215"
 "LS149","1","3146"
 "LS150","17","394"
 "LS150","1","2555"
 "BB143","1","2499"
 "GB151","17","4024"
 "GB153","17","764"
 "GB153","1","848"
 "GB154","1","1870"
 "GB155","17","2964"
 "GB155","1","2338"
 "GB157","17","766"
 "GB157","1","1422"
 "GB158","17","781"
 "GB158","1","1766"
 "GB159","17","3270"
 "GB159","1","1929"
 "GB160","17","2063"
 "GB160","1","2510"
 "GB161","17","2063"
 "GB161","1","2510"
 "GB162","17","1599"
 "GB162","1","1209"
 "GB163","17","3679"
 "GB163","1","2496"
 "GB164","17","3679"
 "GB164","1","2496"
 "GB165","17","3477"
 "GB165","1","1200"
 "GB168","17","3736"
 "GB168","1","158"
 "GB169","17","3817"
 "GB169","1","1211"
 "GB170","17","1530"
 "GB171","17","990"
 "GB171","1","560"
 "GB172","17","505"
 "GB172","1","1663"
 "GB173","17","2167"
 "GB173","1","1208"
 "GB174","17","3719"
 "GB174","1","2543"
 "LB120","1","2640"
 "LB120","17","3272"
 "GB176","17","3706"
 "GB176","1","1301"
 "GB177","17","3706"
 "GB177","1","1301"
 "GB178","17","3278"
 "GB178","1","1206"
 "GB178","16","3621"
 "GB180","17","3163"
 "GB180","1","893"
 "GB180","18","2922"
 "GB185","17","3281"
 "LS151","17","395"
 "LS151","1","1866"
 "LS152","17","2069"
 "LS152","1","2681"
 "LS153","17","396"
 "LS153","1","3545"
 "LS154","17","2968"
 "LS154","1","1386"
 "LS156","17","3791"
 "LS156","1","200"
 "LS157","17","2073"
 "LS157","1","1271"
 "LS158","17","2742"
 "LS158","1","2319"
 "LS160","17","354"
 "LS160","1","3140"
 "LS161","17","2969"
 "LS161","1","1784"
 "LS163","17","235"
 "LS163","1","2430"
 "LS164","17","3872"
 "LS164","1","3125"
 "LS165","17","258"
 "LS165","1","884"
 "LS166","17","3873"
 "LS166","1","1436"
 "LS167","17","3483"
 "LS167","1","2844"
 "LS168","17","3483"
 "LS168","1","2844"
 "LS169","17","3483"
 "LS169","1","2844"
 "LS170","17","3483"
 "LS170","1","2844"
 "LS171","17","192"
 "LS171","1","2364"
 "LS172","17","3487"
 "LS172","1","120"
 "LS172","21","23"
 "BB180","17","4049"
 "LS174","17","1412"
 "LS174","1","1303"
 "LS176","17","408"
 "LS176","1","1198"
 "LS177","17","408"
 "LS177","1","1198"
 "LS178","17","408"
 "LS178","1","1198"
 "LS179","17","2916"
 "LS179","1","2474"
 "LS180","17","303"
 "LS180","1","495"
 "GB182","17","1134"
 "GB182","1","566"
 "GB183","17","449"
 "GB183","1","2366"
 "DB135","17","4104"
 "GB184","1","2261"
 "GB184","17","4103"
 "GB185","1","750"
 "GB186","17","3281"
 "GB186","1","750"
 "GB187","17","1608"
 "GB187","1","1021"
 "BF147","1","4079"
 "GB192","1","2518"
 "GB193","17","2219"
 "GB193","1","564"
 "GB194","17","2855"
 "GB194","1","2610"
 "GB195","17","2092"
 "GB197","17","174"
 "GB197","1","920"
 "GB198","17","186"
 "GB198","1","156"
 "GB199","17","3844"
 "GB199","1","1284"
 "GB200","17","3285"
 "GB200","1","1395"
 "GB202","17","2146"
 "GB202","1","1934"
 "GB203","17","3286"
 "GB203","1","1214"
 "GB204","17","1145"
 "GB204","1","1365"
 "GB205","17","3289"
 "GB205","1","1054"
 "GB207","17","3708"
 "GB207","1","675"
 "GB208","17","1151"
 "GB208","1","2616"
 "GB210","17","3874"
 "GB210","1","153"
 "LS181","17","2392"
 "LS181","1","529"
 "LS182","17","356"
 "LS182","1","657"
 "LS183","17","507"
 "LS183","1","3070"
 "LS184","17","2212"
 "LS184","1","2582"
 "LS185","17","2212"
 "LS185","1","2582"
 "LS186","17","178"
 "LS186","1","910"
 "LS187","17","2972"
 "LS187","1","1388"
 "RP025","17","4012"
 "LS189","1","1691"
 "LS191","17","318"
 "LS191","1","2883"
 "LS192","17","318"
 "LS192","1","2883"
 "LS194","17","2098"
 "LS194","1","2520"
 "LS195","17","243"
 "LS195","1","537"
 "LS196","17","3656"
 "LS196","1","197"
 "LS197","17","3656"
 "LS197","1","197"
 "LS199","17","3501"
 "LS199","1","708"
 "LS201","17","4142"
 "LS200","1","569"
 "BF140","18","4143"
 "LS201","1","569"
 "LS202","17","305"
 "LS202","1","1885"
 "LS203","17","1545"
 "LS203","1","1779"
 "LS204","17","1545"
 "LS204","1","1779"
 "LS205","17","401"
 "LS205","1","2587"
 "LS206","17","401"
 "LS206","1","2587"
 "LS207","17","308"
 "LS207","1","485"
 "LS208","17","309"
 "LS208","1","1533"
 "LS209","17","271"
 "LS209","1","1700"
 "LS210","17","117"
 "LS210","1","857"
 "GB211","17","2977"
 "GB211","1","3885"
 "RP161","1","4142"
 "GB212","1","569"
 "GB213","17","3722"
 "GB213","1","2285"
 "HC046","1","2578"
 "GB215","17","3774"
 "GB215","1","2434"
 "GB216","17","3774"
 "GB216","1","2434"
 "GB221","17","4008"
 "GB218","1","1295"
 "GB218","17","4004"
 "GB219","1","1295"
 "GB219","17","4004"
 "GB220","1","1325"
 "GB223","17","4007"
 "GB221","1","1464"
 "GB220","17","4007"
 "GB222","1","1325"
 "LA144","17","3696"
 "GB223","1","1325"
 "GB224","17","956"
 "GB224","1","568"
 "GB225","17","3305"
 "GB226","17","2980"
 "GB227","17","3668"
 "GB227","1","1890"
 "GB228","17","3306"
 "GB228","1","1382"
 "GB229","17","3858"
 "BF240","1","4055"
 "GB230","17","2880"
 "GB230","1","2836"
 "GB232","17","772"
 "GB233","17","984"
 "GB233","1","572"
 "GB234","17","3311"
 "GB234","1","1190"
 "GB235","17","3311"
 "GB235","1","1190"
 "GB236","17","3311"
 "GB236","1","1190"
 "GB237","17","959"
 "GB238","17","2987"
 "GB238","1","2341"
 "GB239","17","1157"
 "GB239","1","2482"
 "GB240","17","1157"
 "GB240","1","2482"
 "GB241","17","2735"
 "GB241","1","2195"
 "GB243","17","1630"
 "GB243","1","454"
 "LS211","17","117"
 "LS211","1","857"
 "LS212","17","3632"
 "LS212","1","3542"
 "LS213","17","3632"
 "LS213","1","3542"
 "LS214","17","3301"
 "LS214","1","1216"
 "LS215","17","343"
 "LS215","1","528"
 "LS218","17","359"
 "LS218","1","537"
 "LS219","17","405"
 "LS219","1","1456"
 "LS220","17","405"
 "LS220","1","1456"
 "LS221","17","311"
 "LS221","1","1294"
 "LS222","17","207"
 "LS222","1","475"
 "PB081","18","4005"
 "LS223","1","1295"
 "LS224","17","1915"
 "LS224","1","2322"
 "LS225","17","2115"
 "LS225","1","865"
 "LS226","17","423"
 "LS226","1","2646"
 "LS227","17","222"
 "PA063","1","4120"
 "LS228","17","229"
 "LS228","1","2238"
 "LS229","17","423"
 "LS229","1","2646"
 "LS230","17","208"
 "LS230","1","2504"
 "LS231","17","208"
 "LS231","1","2504"
 "PA205","1","4171"
 "LS232","1","1452"
 "LS233","17","204"
 "LS233","1","2236"
 "LS234","17","230"
 "LS234","1","2552"
 "LS237","17","3317"
 "LS237","1","555"
 "LS238","17","3634"
 "LS238","1","2400"
 "CB203","17","4136"
 "LS239","1","2297"
 "LS242","17","2743"
 "LS242","1","2371"
 "LS243","17","1166"
 "LS243","1","2450"
 "LS244","17","1166"
 "LS244","1","2450"
 "GB245","17","3634"
 "GB245","1","2400"
 "GB246","17","1632"
 "GB246","1","2272"
 "LS245","17","273"
 "LS245","1","1884"
 "LS246","17","775"
 "LS246","1","525"
 "GB247","17","824"
 "GB247","1","1794"
 "GB248","17","1760"
 "GB248","1","43"
 "GB250","17","2130"
 "GB250","1","1213"
 "MW170","17","4140"
 "GB251","1","724"
 "GB252","17","2149"
 "GB252","1","1935"
 "GB253","17","1910"
 "GB253","1","2276"
 "GB254","17","962"
 "GB254","1","2273"
 "GB256","17","3531"
 "GB256","1","2369"
 "GB257","17","3878"
 "GB257","1","2835"
 "GB258","16","2860"
 "GB259","17","2213"
 "GB259","1","3117"
 "BA241","17","337"
 "LS013","17","1957"
 "LS013","1","3548"
 "LS193","17","318"
 "LA301","17","3051"
 "HC062","17","4050"
 "LA300","17","511"
 "LA299","1","3351"
 "LA299","17","3050"
 "LA297","17","3326"
 "LA297","1","2460"
 "LA296","1","2791"
 "LA294","1","1369"
 "LA296","17","2393"
 "LA294","17","3519"
 "MW155","17","795"
 "LA289","1","2335"
 "LA289","17","1798"
 "LA288","1","3355"
 "LA287","1","1034"
 "LA288","17","3850"
 "LA287","17","2121"
 "LA285","1","941"
 "LA285","17","1552"
 "LA284","1","747"
 "BA047","1","3971"
 "LA284","17","2708"
 "LA283","17","1625"
 "LA282","1","747"
 "LA282","17","2708"
 "LA281","17","1552"
 "LA281","1","941"
 "LA280","1","941"
 "LA279","1","941"
 "LA280","17","1552"
 "LA279","17","1552"
 "LA274","17","2982"
 "LA274","1","1856"
 "LA273","1","1856"
 "LA273","17","2982"
 "LA272","1","2264"
 "LA272","17","3081"
 "BF268","1","4062"
 "LA269","1","2330"
 "LA267","1","460"
 "LA267","17","2113"
 "LA266","17","983"
 "BF109","18","3076"
 "LA262","18","261"
 "LA262","1","1642"
 "LA262","17","3853"
 "LA261","1","2457"
 "LA261","17","2979"
 "LA260","1","2457"
 "LA260","17","2979"
 "LA258","1","804"
 "LA258","17","1756"
 "LA256","1","2216"
 "LA256","17","3775"
 "LA255","17","3823"
 "LA255","1","2169"
 "LA254","1","2169"
