"uid1","idx","uid2"
 "AC013","3","GB017"
 "AC013","3","GB018"
 "LA311","1","LA315"
 "LA311","1","LA319"
 "LA315","1","LA319"
 "LA318","1","LA313"
 "LA318","7","LA319"
 "LA318","7","LA315"
 "LA318","7","LA311"
 "LA313","7","LA319"
 "LA313","7","LA315"
 "LA313","7","LA311"
 "LA002","1","LA003"
 "GP095","1","GP096"
 "GB104","3","BD040"
 "GB104","3","BD037"
 "GB104","3","BD038"
 "BD038","1","BD037"
 "BD038","1","BD040"
 "BD037","1","BD040"
 "GB218","2","GB220"
 "GB218","2","GB222"
 "GB218","2","GB223"
 "GB218","7","GB221"
 "GB219","2","GB220"
 "GB219","2","GB222"
 "GB219","2","GB223"
 "GB219","7","GB221"
 "GB220","1","GB222"
 "GB220","1","GB223"
 "GB220","2","GB221"
 "GB222","2","GB221"
 "GB223","2","GB221"
 "BB052","1","BB051"
 "GP040","1","GP038"
 "GP040","1","GP042"
 "GP040","1","GB022"
 "GP040","1","GB021"
 "GP042","1","GP038"
 "GP042","1","GB022"
 "GP042","1","GB021"
 "GP038","1","GB022"
 "GP038","1","GB021"
 "GP114","8","BA224"
 "AC096","2","LC063"
 "BF190","1","LS173"
 "LC064","1","LC063"
 "AC095","2","LC064"
 "AC096","2","LC064"
 "AC096","7","LC073"
 "LC065","1","LC064"
 "AC095","2","LC065"
 "BF070","8","LC061"
 "BF070","8","BF069"
 "LC073","1","LC074"
 "AC095","7","LC074"
 "AC095","7","LC073"
 "GB251","1","MW170"
 "MW171","1","GB251"
 "LA201","2","LA200"
 "GP230","1","GP233"
 "GP230","1","GP232"
 "GP230","1","GP231"
 "GP231","1","GP233"
 "GP231","1","GP232"
 "GP232","1","GP233"
 "LA209","1","LA208"
 "GB212","1","BA175"
 "BB048","1","BB047"
 "GB052","0","BB048"
 "GB052","0","BB047"
 "LA013","4","LA069"
 "LA069","3","LA012"
 "BA009","2","BA010"
 "BA009","1","LA012"
 "BA009","3","LA069"
 "LA012","2","BA010"
 "LA105","1","LA106"
 "BF251","1","BB186"
 "BB186","2","BF250"
 "BF251","2","LA288"
 "BF251","2","BF250"
 "AC122","2","BF111"
 "BB056","1","BB057"
 "BB094","2","BF119"
 "BA046","1","BA045"
 "GP241","1","GP240"
 "LC028","1","LC027"
 "BF188","1","BF190"
 "BF188","1","BF189"
 "BF190","1","BF189"
 "LS172","1","BF190"
 "LS172","1","BF188"
 "LS172","1","BF189"
 "LC006","2","LC027"
 "LC005","2","LC028"
 "LC005","2","LC027"
 "GP130","2","GP283"
 "GP132","2","GP283"
 "GP133","7","GP283"
 "GP283","3","GP138"
 "GP283","3","GP129"
 "GP283","3","GP131"
 "GP130","1","GP132"
 "GP129","1","GP134"
 "GP130","2","GP131"
 "GP130","2","GP129"
 "GP129","1","GP131"
 "GP132","2","GP129"
 "GP130","2","GP134"
 "GP131","1","GP134"
 "GP132","2","GP131"
 "BD049","1","BD050"
 "BD061","1","BD062"
 "BF002","1","BF003"
 "BF008","1","BF011"
 "BF008","1","BF010"
 "BA216","1","BA215"
 "BA207","1","BA209"
 "BF010","1","BF011"
 "BF053","1","BF054"
 "BF053","1","BF055"
 "BF054","1","BF055"
 "BF057","1","BF059"
 "BF057","8","BF063"
 "BF057","8","BF060"
 "BF063","1","BF060"
 "BF062","2","BF063"
 "BF061","7","BF063"
 "BF064","7","BF063"
 "BF058","7","BF063"
 "LS067","1","BF063"
 "LS067","1","BF060"
 "BF062","2","LS067"
 "LS067","3","BF057"
 "LS067","3","BF059"
 "BF058","1","BF061"
 "BF058","1","BF064"
 "BF058","2","BF062"
 "BF058","7","LS067"
 "BF058","7","BF060"
 "BF063","2","BF059"
 "BF059","8","BF060"
 "BF059","8","LS067"
 "BF062","7","BF059"
 "BF062","2","BF060"
 "BF061","7","BF060"
 "BF064","7","BF060"
 "BF060","7","BF058"
 "BF061","1","BF064"
 "BF061","2","BF062"
 "BF061","7","LS067"
 "BF064","2","BF062"
 "BF062","7","BF057"
 "BF063","8","BF059"
 "BA046","7","BA047"
 "BA045","7","BA047"
 "BF077","1","BF074"
